,customer_id,group,is_buy
0,21393799,2,0
1,20349278,2,0
2,11655915,2,0
3,18516581,2,0
4,7805171,2,0
5,860364,2,0
6,8611836,2,0
7,218943,2,0
8,8074453,2,0
9,95176,2,0
10,17805470,2,0
11,9175016,2,0
12,19846353,2,0
13,18216377,2,0
14,19976656,2,0
15,10853924,2,0
16,20720995,2,0
17,20047313,2,0
18,488527,2,0
19,187776,2,0
20,7891794,2,0
21,1105478,2,0
22,7712557,2,0
23,8437859,2,0
24,10524075,2,0
25,6116688,2,0
26,7698194,2,0
27,15940709,2,0
28,7392888,2,0
29,22389783,2,0
30,9314715,2,0
31,7055034,2,0
32,24579053,2,0
33,1260199,2,0
34,16920620,2,0
35,9859667,2,0
36,322880,2,0
37,5662970,2,0
38,9728681,2,0
39,22410297,2,0
40,24436225,2,0
41,23877624,2,0
42,171886,2,0
43,1167546,2,0
44,13658339,2,0
45,5235615,2,0
46,19654679,2,0
47,12893167,2,0
48,13350167,2,0
49,24188767,2,0
50,7496625,2,0
51,6157492,2,0
52,9701858,2,0
53,8144098,2,0
54,7582983,2,0
55,12235093,2,0
56,920320,2,0
57,8010937,2,0
58,7087722,2,0
59,20854958,2,0
60,18449423,2,0
61,13569103,2,0
62,8005885,2,0
63,5924565,2,0
64,1854874,2,0
65,1961491,2,0
66,18514485,2,0
67,23509938,2,0
68,19528123,2,0
69,471890,2,0
70,20111627,2,0
71,7950306,2,0
72,6527510,2,0
73,7597942,2,0
74,8208057,2,0
75,6769955,2,0
76,21557486,2,0
77,497153,2,0
78,12549167,2,0
79,10892171,2,0
80,15509613,2,0
81,6736807,2,0
82,19396250,2,0
83,12809861,2,0
84,5322186,2,0
85,21658858,2,0
86,9620305,2,0
87,14094877,2,0
88,13779965,2,0
89,20960029,2,0
90,10987717,2,0
91,7968682,2,0
92,10225121,2,0
93,15426060,2,0
94,7668318,2,0
95,914965,2,0
96,652712,2,0
97,23058924,2,0
98,165468,2,0
99,96300,2,0
100,1417241,2,0
101,596859,2,0
102,12800508,2,0
103,8175864,2,0
104,10214442,2,0
105,23338211,2,0
106,16886680,2,0
107,2203159,2,0
108,18858746,2,0
109,1657526,2,0
110,23141715,2,0
111,9261568,2,0
112,24452062,2,0
113,177463,2,0
114,5790380,2,0
115,314370,2,0
116,366997,2,0
